word,spam,ham
one,501,806
kind,39,78
money,323,72
maker,11,16
try,72,238
free,546,416
constantly,5,5
bombarded,3,0
called,58,75
making,75,90
system,193,618
tease,2,2
limited,107,18
information,322,261
said,57,252
done,19,140
blind,7,8
side,71,45
demanding,2,2
credit,116,17
card,96,117
upfront,8,0
slick,3,2
way,159,436
fact,42,84
yes,62,166
skeptical,6,9
offer,286,76
internet,167,219
general,63,158
hype,5,2
probably,18,156
fortunate,2,7
main,43,80
business,320,163
slowed,2,0
self,24,56
employed,13,2
life,197,145
looked,10,39
something,53,299
fit,17,29
lifestyle,7,4
assist,29,6
paying,18,12
bill,76,46
without,115,201
working,42,160
death,32,27
loosing,3,1
proposal,22,4
new,488,653
investment,84,18
great,100,121
none,123,51
interested,34,38
click,422,158
link,200,165
provided,31,63
regret,6,4
happy,47,43
enough,24,135
recommend,6,25
true,55,91
word,58,141
mean,56,162
absolutely,47,27
join,23,52
make,261,462
also,308,529
get,412,852
track,44,54
result,84,117
time,478,659
effort,46,42
instantly,17,7
updated,11,61
daily,35,85
especially,33,46
liked,3,9
idea,46,142
personal,102,81
control,54,103
real,60,125
staying,4,3
informed,9,4
statistic,23,4
quite,18,94
simply,76,95
logical,2,29
opened,12,25
fair,10,13
others,66,92
seen,57,74
start,95,205
specific,17,59
need,186,456
seriously,12,19
consider,11,36
right,290,312
teasing,2,0
grand,15,20
testimony,3,2
kidding,3,5
unlike,9,16
program,222,172
give,99,209
overall,11,10
plan,73,53
first,258,342
forking,2,5
worst,12,13
yet,29,113
joining,5,2
finding,19,30
late,61,23
wasting,6,5
valuable,33,6
trying,14,152
figure,26,56
straightforward,4,6
informative,2,11
providing,26,13
two,151,222
thing,75,380
really,66,277
must,80,114
know,118,409
work,231,584
ultimate,14,16
deal,64,49
breaker,3,0
immediately,38,29
disclosed,3,0
well,152,301
discovering,2,4
maybe,12,151
want,210,365
hooked,2,6
locked,6,12
frustrating,5,5
battle,19,21
back,119,239
call,193,144
platinum,14,3
choice,42,53
stand,17,32
alone,12,11
superior,17,5
totally,19,19
different,64,163
previously,14,25
misleading,2,3
hook,2,11
promise,16,22
lofty,3,1
mega,7,2
jackpot,3,1
line,143,311
pocket,15,19
headline,6,22
every,148,135
week,135,167
yeah,3,19
million,162,96
whole,57,73
launched,36,13
ago,19,95
earnings,11,22
far,42,95
tell,48,133
able,44,130
anything,31,135
corporate,19,23
help,156,346
unusually,2,0
thorough,4,2
timely,6,4
motivating,2,0
see,206,416
action,50,49
mind,36,75
go,215,283
site,219,230
fill,69,18
form,176,85
soon,50,44
minute,77,54
ready,37,25
whether,43,79
decent,5,13
explosive,5,0
potential,34,11
fully,20,34
loaded,2,22
hi,89,125
tech,16,149
software,143,298
member,155,44
support,87,265
even,150,362
protective,5,1
safeguard,2,1
question,73,191
could,104,366
like,265,660
helping,14,5
finally,28,43
pay,82,50
keep,71,123
good,139,263
luck,9,36
ben,3,17
green,14,24
p,450,410
pop,8,35
email,698,887
offered,25,16
web cam,11,5
wanted,19,36
wanna,2,6
sexually,5,1
curious,3,10
teen,11,7
playing,15,34
horny,10,0
girlfriend,6,0
waiting,20,23
eating,3,14
dormitory,2,0
ur,39,4
reading,58,63
in between,2,1
class,53,59
course,49,103
wink,1,0
baby,10,18
veronica,1,0
manage,27,33
multiple,9,66
connection,14,81
sat,12,85
may,307,488
merciless,4,52
luca,1,52
wrote,32,1012
case,100,218
meant,5,18
combine,10,10
network,64,272
port,8,95
computer,99,185
connected,8,24
switch,1,80
description,10,23
say,94,254
linux,11,665
bonding,0,3
driver,11,167
provides,17,52
method,58,60
aggregating,0,1
interface,13,79
single,34,96
bonded,1,3
strictly,15,8
speaking,7,19
interpretation,3,1
seems,31,165
based,102,154
definition,9,17
aggregation,0,10
familiar,6,16
basically,2,21
merge,0,8
least,89,129
divide,2,1
use,194,823
separately,4,9
easy,109,90
rare,9,8
situation,23,40
e,1975,1636
g,378,288
might,49,180
wandering,0,4
zone,10,14
fifi,0,8
sometimes,21,61
unavailable,0,7
region,45,9
another,63,192
example,83,143
given,43,79
mobile,32,28
phone,115,152
smart phone,0,2
via,73,117
blue tooth,3,6
protocol,4,28
possible,50,132
simultaneously,3,9
range,27,34
small,58,92
bandwidth,4,15
compared,27,14
okay,1,18
realistic,3,9
share,61,79
neighbor,2,13
legally,14,7
lot,37,173
already,55,128
ethernet,0,19
suitable,3,9
low,106,46
level,72,101
layer,4,24
unless,6,54
provider,5,30
using,75,452
technology,63,161
ads,1,7
afaik,0,17
bop,1,10
tip,72,62
league,33,10
whatever,27,60
end,89,312
gnu,5,228
preferably,2,12
debit,2,824
machine,10,147
internal,15,45
since,124,254
consumer,27,23
gateway,0,31
wan,1,20
used,127,236
custom,45,41
firmware,2,50
topic,24,36
regard,34,122
andrei,1,19
cc,158,151
subscribed,65,51
list,353,1165
off topic,0,10
discussion,5,64
among,30,32
user,80,729
developer,5,86
begin,78,172
pp,38,365
signature,6,281
version,40,544
gnu pg,0,141
v,369,368
jeopard,1,11
eye,58,73
murvyn,0,2
j,330,202
w,341,292
vi,12,20
wm,9,5
pm,46,383
fr,24,17
bawd,1,2
h,364,208
menorahs,0,1
jg,20,7
l,673,258
io,4,11
sq,13,30
fwd,7,31
x,373,749
br,269,7
k,346,230
ohmic,0,1
oh,21,41
revival,2,2
rip,13,5
squeak,0,1
cpl,1,4
jazmin,1,2
boom,4,12
tbsp,2606,1182
tight,2,3
rickert,0,1
tty,3,21
hy,9,3
ix,12,13
spam,226,249
hour,94,53
rodeo enhance,1,0
desire,19,14
pleasure,11,4
performance,32,76
guaranteed,51,3
increase,81,40
size,327,458
width,67,36
best,213,162
price,436,120
net,82,340
f,782,904
tuesday,4,166
july,33,201
spend,12,23
upwards,3,0
did,97,143
burner,12,7
show,101,190
alternative,27,54
exact,13,19
fraction,8,3
cost,147,84
copy,137,99
remove,96,82
ie,10,50
mailing,201,437
membership,37,16
reminder this,0,1
reminder,5,16
sent,159,230
month,212,98
includes,59,43
subscription,53,274
info,51,102
change,221,400
unsubscripted,272,1026
visit,125,77
